date,time,venue,home,away,home_score,away_score,status
2027-05-03,6:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,Appleton Gospel Church,TBD,TBD,Upcoming
2027-05-03,7:00 pm,Memorial Park Northwest - MPN#3,Sounds of Thunder,Appleton Gospel Church,TBD,TBD,Upcoming
2027-05-03,8:00 pm,Memorial Park Northwest - MPN#3,ATC,Brothers In Christ,TBD,TBD,Upcoming
2027-05-03,9:00 pm,Memorial Park Northwest - MPN#3,Mason Street,Brothers In Christ,TBD,TBD,Upcoming
2027-05-03,6:00 pm,Memorial Park South - MPS#2,Community Bible #2,Calvary Bible #1,TBD,TBD,Upcoming
2027-05-03,7:00 pm,Memorial Park South - MPS#2,XCEL #2,Calvary Bible #1,TBD,TBD,Upcoming
2027-05-03,6:00 pm,Memorial Park East - MPE#1,Bennett and the Jets,River Valley,TBD,TBD,Upcoming
2027-05-03,7:00 pm,Memorial Park East - MPE#1,MILLCITY,River Valley,TBD,TBD,Upcoming
2027-05-03,6:00 pm,Jefferson Park Menasha - JPM#1,Community Bible,Shepherd of the Hills,TBD,TBD,Upcoming
2027-05-03,7:00 pm,Jefferson Park Menasha - JPM#1,Community Bible,XCEL #2,TBD,TBD,Upcoming
2027-05-03,8:00 pm,Jefferson Park Menasha - JPM#1,Calvary 3,VALLEY HARVEST,TBD,TBD,Upcoming
2027-05-03,9:00 pm,Jefferson Park Menasha - JPM#1,Calvary 3,FREEDOM FELLOWSHIP,TBD,TBD,Upcoming
2027-05-10,6:00 pm,Memorial Park Northwest - MPN#3,VALLEY HARVEST,Bennett and the Jets,TBD,TBD,Upcoming
2027-05-10,7:00 pm,Memorial Park Northwest - MPN#3,VALLEY HARVEST,FREEDOM FELLOWSHIP,TBD,TBD,Upcoming
2027-05-10,8:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,FREEDOM FELLOWSHIP,TBD,TBD,Upcoming
2027-05-10,9:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,Calvary 3,TBD,TBD,Upcoming
2027-05-10,6:00 pm,Memorial Park South - MPS#2,Calvary Bible #1,ATC,TBD,TBD,Upcoming
2027-05-10,7:00 pm,Memorial Park South - MPS#2,Calvary Bible #1,MILLCITY,TBD,TBD,Upcoming
2027-05-10,6:00 pm,Memorial Park East - MPE#1,Community Bible,River Valley,TBD,TBD,Upcoming
