date,time,venue,home,away,score,status
2026-05-04,6:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,Appleton Gospel Church,20-0,Upcoming
2026-05-04,7:00 pm,Memorial Park Northwest - MPN#3,Sounds of Thunder,Appleton Gospel Church,TBD,Upcoming
2026-05-04,8:00 pm,Memorial Park Northwest - MPN#3,ATC,Brothers In Christ,TBD,Upcoming
2026-05-04,9:00 pm,Memorial Park Northwest - MPN#3,Mason Street,Brothers In Christ,TBD,Upcoming
2026-05-04,6:00 pm,Memorial Park South - MPS#2,Community Bible #2,Calvary Bible #1,TBD,Upcoming
2026-05-04,7:00 pm,Memorial Park South - MPS#2,XCEL #2,Calvary Bible #1,TBD,Upcoming
2026-05-04,6:00 pm,Memorial Park East - MPE#1,Bennett and the Jets,River Valley,TBD,Upcoming
2026-05-04,7:00 pm,Memorial Park East - MPE#1,MILLCITY,River Valley,TBD,Upcoming
2026-05-04,6:00 pm,Jefferson Park Menasha - JPM#1,Community Bible,Shepherd of the Hills,TBD,Upcoming
2026-05-04,7:00 pm,Jefferson Park Menasha - JPM#1,Community Bible,XCEL #2,TBD,Upcoming
2026-05-04,8:00 pm,Jefferson Park Menasha - JPM#1,Calvary 3,VALLEY HARVEST,TBD,Upcoming
2026-05-04,9:00 pm,Jefferson Park Menasha - JPM#1,Calvary 3,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-05-11,6:00 pm,Memorial Park Northwest - MPN#3,VALLEY HARVEST,Bennett and the Jets,TBD,Upcoming
2026-05-11,7:00 pm,Memorial Park Northwest - MPN#3,VALLEY HARVEST,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-05-11,8:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-05-11,9:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,Calvary 3,TBD,Upcoming
2026-05-11,6:00 pm,Memorial Park South - MPS#2,Calvary Bible #1,ATC,TBD,Upcoming
2026-05-11,7:00 pm,Memorial Park South - MPS#2,Calvary Bible #1,MILLCITY,TBD,Upcoming
2026-05-11,6:00 pm,Memorial Park East - MPE#1,Community Bible,River Valley,TBD,Upcoming
2026-05-11,7:00 pm,Memorial Park East - MPE#1,Community Bible,Sounds of Thunder,TBD,Upcoming
2026-05-11,6:00 pm,Jefferson Park Menasha - JPM#1,Appleton Gospel Church,Mason Street,TBD,Upcoming
2026-05-11,7:00 pm,Jefferson Park Menasha - JPM#1,Appleton Gospel Church,XCEL #2,TBD,Upcoming
2026-05-11,8:00 pm,Jefferson Park Menasha - JPM#1,Community Bible #2,XCEL #2,TBD,Upcoming
2026-05-11,9:00 pm,Jefferson Park Menasha - JPM#1,Community Bible #2,Shepherd of the Hills,TBD,Upcoming
2026-05-18,6:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,VALLEY HARVEST,TBD,Upcoming
2026-05-18,7:00 pm,Memorial Park Northwest - MPN#3,XCEL #2,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-05-18,8:00 pm,Memorial Park Northwest - MPN#3,Bennett and the Jets,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-05-18,9:00 pm,Memorial Park Northwest - MPN#3,Bennett and the Jets,Brothers In Christ,TBD,Upcoming
2026-05-18,6:00 pm,Memorial Park South - MPS#2,Mason Street,Shepherd of the Hills,TBD,Upcoming
2026-05-18,7:00 pm,Memorial Park South - MPS#2,Mason Street,Community Bible,TBD,Upcoming
2026-05-18,6:00 pm,Memorial Park East - MPE#1,Calvary 3,Calvary Bible #1,TBD,Upcoming
2026-05-18,7:00 pm,Memorial Park East - MPE#1,Calvary 3,ATC,TBD,Upcoming
2026-05-18,6:00 pm,Jefferson Park Menasha - JPM#1,Community Bible #2,Appleton Gospel Church,TBD,Upcoming
2026-05-18,7:00 pm,Jefferson Park Menasha - JPM#1,Community Bible #2,MILLCITY,TBD,Upcoming
2026-05-18,8:00 pm,Jefferson Park Menasha - JPM#1,Sounds of Thunder,MILLCITY,TBD,Upcoming
2026-05-18,9:00 pm,Jefferson Park Menasha - JPM#1,Sounds of Thunder,River Valley,TBD,Upcoming
2026-06-01,6:00 pm,Memorial Park Northwest - MPN#3,FREEDOM FELLOWSHIP,Calvary Bible #1,TBD,Upcoming
2026-06-01,7:00 pm,Memorial Park Northwest - MPN#3,Calvary 3,Bennett and the Jets,TBD,Upcoming
2026-06-01,8:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,Bennett and the Jets,TBD,Upcoming
2026-06-01,9:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,XCEL #2,TBD,Upcoming
